asset_id,user_id,purchase_date,warranty_end,vendor,model,cpu,ram_gb,storage_gb,storage_type,os_version,location,status,retire_date,ticket_count_last_6m,bsod_cnt_30d,battery_cycle,battery_design_cap,battery_full_cap,cpu_temp_max,gpu_temp_max,thermal_throttle_cnt,smart_realloc,smart_pending,disk_errors_30d,uptime_hours_7d,patch_missing_cnt,label_failure_90d,label_retire_180d,age_days,age_months,in_warranty,battery_health,is_nvme,is_mac
ASSET-10000,U1409,2022-01-31,2023-01-26,Acer,Swift 3,i7-8650U,16.0,1024.0,NVMe,Windows 10,Singapore,in_use,,0.0,1.0,133.0,5200.0,4148.0,80.0,71.0,0.0,0.0,0.0,0.0,28.4,1.0,0,0,1290.0,43.0,0,0.7976923076923077,1,0
ASSET-10001,U8527,2020-05-26,2022-05-16,MSI,Modern 14,Ryzen 5 4500U,32.0,1024.0,HDD,macOS 13,HN,in_use,,0.0,0.0,221.0,4000.0,3509.0,65.0,68.0,0.0,0.0,0.0,0.0,25.2,2.0,0,0,1905.0,63.5,0,0.87725,0,1
ASSET-10002,U4752,2019-05-12,2021-05-01,HP,EliteBook 840,i7-8650U,8.0,1024.0,NVMe,Ubuntu 22.04,HN,in_use,,0.0,0.0,209.0,5200.0,3672.0,73.0,88.0,0.0,0.0,0.0,1.0,38.7,2.0,0,0,2285.0,76.2,0,0.7061538461538461,1,0
ASSET-10003,U5119,,2022-02-01,Apple,MacBook Pro 14,Ryzen 5 4500U,16.0,512.0,SSD,Ubuntu 22.04,Hue,in_use,,2.0,1.0,463.0,4500.0,2693.0,65.0,72.0,0.0,0.0,0.0,0.0,35.8,1.0,0,0,,,0,0.5984444444444444,0,0
ASSET-10004,U2403,2024-06-13,2025-06-08,Dell,Latitude 5420,i5-1135G7,32.0,512.0,NVMe,Windows 11,DN,retired,2025-08-15,2.0,0.0,387.0,5800.0,5122.0,85.0,78.0,0.0,0.0,0.0,0.0,9.8,2.0,0,1,426.0,14.2,0,0.8831034482758621,1,0
ASSET-10005,U5562,2024-06-11,2025-06-06,Asus,ZenBook 14,M2,8.0,512.0,HDD,Windows 11,HCM,in_use,,0.0,0.0,300.0,4000.0,3487.0,88.0,71.0,0.0,0.0,0.0,0.0,60.1,3.0,0,0,428.0,14.3,0,0.87175,0,0
ASSET-10007,U7615,2020-05-06,2023-04-21,Lenovo,T14 Gen2,i5-8250U,32.0,256.0,HDD,macOS 13,Singapore,in_use,,1.0,0.0,224.0,5800.0,3710.0,83.0,69.0,0.0,0.0,0.0,0.0,32.6,2.0,0,0,1925.0,64.2,0,0.6396551724137931,0,1
ASSET-10008,U9666,2019-02-02,2022-01-17,Acer,Aspire 5,Ryzen 5 4500U,32.0,256.0,SSD,Ubuntu 22.04,HCM,in_repair,,0.0,0.0,275.0,4000.0,3242.0,93.0,71.0,0.0,0.0,0.0,0.0,1.619,1.0,1,0,2384.0,79.5,0,0.8105,0,0
ASSET-10009,U9938,2019-05-28,2021-05-17,Acer,Swift 3,i5-1135G7,16.0,256.0,SSD,Ubuntu 22.04,DN,in_use,,0.0,0.0,296.0,4000.0,2884.0,80.0,71.0,3.0,0.0,0.0,0.0,16.6,2.0,0,0,2269.0,75.6,0,0.721,0,0
ASSET-10011,U1027,2024-10-30,2027-10-15,Lenovo,L14,i7-1185G7,16.0,512.0,SSD,Ubuntu 22.04,Singapore,in_use,,0.0,0.0,245.0,5000.0,3162.0,75.0,79.0,0.0,0.0,0.0,0.0,15.4,0.0,0,0,287.0,9.6,1,0.6324,0,0
ASSET-10012,U9375,2024-04-22,2027-04-07,Acer,Swift 3,i7-8650U,16.0,1024.0,NVMe,macOS 13,DN,in_use,,2.0,0.0,494.0,4000.0,3663.5,82.0,82.0,0.0,0.0,0.0,0.0,43.5,1.5,0,0,478.0,15.9,1,0.915875,1,1
ASSET-10013,U8611,2019-07-25,2022-07-09,Acer,TravelMate P2,i7-8650U,16.0,256.0,HDD,macOS 13,Singapore,in_use,,0.0,0.0,117.0,5800.0,5357.0,71.0,80.0,0.0,0.0,0.0,0.0,48.3,1.0,0,0,2211.0,73.7,0,0.9236206896551724,0,1
ASSET-10014,U3267,2020-09-09,2021-09-04,Asus,ZenBook 14,i5-1135G7,32.0,256.0,SSD,macOS 12,Hue,in_use,,1.0,1.0,300.0,5000.0,4840.0,75.0,94.61999999999989,0.0,0.0,0.0,0.0,18.6,4.0,0,0,1799.0,60.0,0,0.968,0,1
ASSET-10015,U6507,2023-07-15,2026-06-29,Lenovo,L14,M2,8.0,1024.0,NVMe,Windows 10,Hue,in_use,,1.0,2.0,5000.0,5800.0,3613.0,65.0,67.0,0.0,0.0,0.0,0.0,41.3,1.0,0,0,760.0,25.3,1,0.6229310344827587,1,0
ASSET-10016,U1333,2020-09-16,2021-09-11,Dell,Latitude 7420,i7-8650U,32.0,256.0,HDD,Ubuntu 22.04,DN,in_use,,0.0,1.0,458.0,4500.0,3409.0,84.0,81.0,0.0,0.0,0.0,0.0,46.1,4.0,0,0,1792.0,59.7,0,0.7575555555555555,0,0
ASSET-10017,U7071,2019-10-10,,HP,Envy 13,i5-8250U,16.0,512.0,SSD,macOS 12,DN,in_use,,0.0,0.0,338.0,5200.0,3654.0,84.0,65.0,0.0,0.0,0.0,0.0,35.3,2.0,0,0,2134.0,71.1,0,0.7026923076923077,0,1
ASSET-10018,U4475,2022-12-24,2024-12-13,Dell,Precision 3560,Ryzen 5 4500U,32.0,256.0,NVMe,Windows 11,HCM,in_use,,0.0,1.0,286.5,4500.0,2647.0,72.0,78.0,0.0,0.0,0.0,0.0,80.70499999999997,3.0,0,0,963.0,32.1,0,0.5882222222222222,1,0
ASSET-10019,U4033,2021-02-23,2022-02-18,Acer,TravelMate P2,Ryzen54500U,32.0,1024.0,NVMe,macOS 13,DN,in_use,,1.0,0.0,395.0,4000.0,2536.0,79.0,68.0,0.0,0.0,0.0,0.0,33.6,1.5,1,0,1632.0,54.4,0,0.634,1,1
ASSET-10020,U1878,,2021-09-08,Acer,TravelMate P2,Ryzen 5 4500U,8.0,256.0,SSD,macOS 13,Hue,in_repair,,0.0,0.0,190.0,5800.0,3236.0,76.0,88.0,0.0,0.0,0.0,0.0,37.45,1.5,0,0,,,0,0.5579310344827586,0,1
ASSET-10021,U5720,,2025-02-16,Lenovo,T14 Gen2,i7-8650U,16.0,512.0,HDD,macOS 13,Tokyo,in_repair,,0.0,0.0,104.0,4500.0,4160.0,78.0,69.0,0.0,0.0,0.0,0.0,49.2,2.0,0,0,,,0,0.9244444444444444,0,1
ASSET-10022,U4750,2019-03-26,2022-03-10,Lenovo,T480,i5-8250U,8.0,512.0,NVMe,macOS 12,DN,in_repair,,0.0,0.0,279.0,5000.0,3772.0,80.0,66.0,0.0,0.0,0.0,0.0,28.2,2.0,0,0,2332.0,77.7,0,0.7544,1,1
ASSET-10023,U7770,2019-08-11,2020-08-05,Asus,VivoBook 15,M2,32.0,512.0,SSD,Windows 11,DN,in_use,,0.0,0.0,300.0,5800.0,4664.0,75.0,66.0,0.0,0.0,0.0,1.0,57.5,2.0,0,0,2194.0,73.1,0,0.8041379310344827,0,0
ASSET-10024,U3369,2023-04-21,2024-04-15,Dell,Precision 3560,i7-8650U,16.0,512.0,HDD,macOS 13,DN,retired,2024-07-03,2.0,0.0,238.0,4000.0,3156.0,78.0,80.0,1.0,0.0,0.0,0.0,34.6,5.0,0,1,845.0,28.2,0,0.789,0,1
ASSET-10025,U2644,2023-12-09,2024-12-03,Dell,XPS 13,M2,8.0,1024.0,SSD,macOS 12,Tokyo,in_use,,0.0,0.0,208.0,4500.0,3895.0,83.0,65.0,0.0,0.0,0.0,0.0,39.8,0.0,0,0,613.0,20.4,0,0.8655555555555555,0,1
ASSET-10026,U8269,2020-11-12,2023-10-28,Acer,Swift 3,i5-8250U,16.0,512.0,SSD,Ubuntu 22.04,DN,in_use,,0.0,0.0,176.0,5000.0,3932.0,79.0,71.0,0.0,0.0,0.0,0.0,11.0,5.0,0,0,1735.0,57.8,0,0.7864,0,0
ASSET-10027,U5097,2024-02-15,2026-02-04,HP,Envy 13,M1,16.0,512.0,SSD,macOS 12,Singapore,in_use,,1.0,0.0,88.0,5000.0,3523.0,77.0,65.0,0.0,0.0,0.0,0.0,39.0,3.0,0,0,545.0,18.2,1,0.7046,0,1
ASSET-10028,U1645,2022-06-19,2024-06-08,Acer,TravelMate P2,Ryzen 7 4800U,32.0,256.0,SSD,Ubuntu 22.04,DN,in_use,,1.0,1.0,310.0,5200.0,4667.0,81.0,72.0,0.0,0.0,0.0,0.0,64.0,1.0,0,0,1151.0,38.4,0,0.8975,0,0
ASSET-10029,U8451,2023-02-18,2026-02-02,Asus,ZenBook 14,Ryzen 5 4500U,16.0,512.0,NVMe,Ubuntu 22.04,HCM,in_use,,0.0,2.0,572.0,4500.0,2394.0,75.0,70.0,0.0,0.0,0.0,2.0,36.900000000000006,2.0,1,0,907.0,30.2,1,0.532,1,0
ASSET-10031,U5542,2020-08-15,2021-08-10,Dell,Latitude 5420,i5-1135G7,16.0,1024.0,SSD,Windows 11,HCM,in_use,,0.0,1.0,286.5,5000.0,4887.0,80.0,69.0,0.0,0.0,0.0,0.0,8.0,3.0,0,0,1824.0,60.8,0,0.9774,0,0
ASSET-10032,U2768,2024-07-01,2027-06-16,Apple,MacBook Pro 14,Ryzen 7 4800U,32.0,256.0,SSD,Windows 11,DN,retired,2025-07-18,0.0,0.0,317.0,5800.0,3653.5,79.0,82.0,0.0,0.0,0.0,0.0,35.8,1.0,0,1,408.0,13.6,1,0.6299137931034483,0,0
ASSET-10033,U2099,2020-01-09,2021-01-03,Dell,Precision 3560,i7-8650U,32.0,1024.0,HDD,Windows 11,Singapore,in_use,,0.0,0.0,431.0,4000.0,3654.0,89.0,79.0,0.0,0.0,0.0,0.0,37.3,3.0,1,0,2043.0,68.1,0,0.9135,0,0
ASSET-10034,U1430,2021-12-31,2022-12-26,Asus,ROG Zephyrus G14,Ryzen 5 4500U,16.0,512.0,SSD,Windows 11,HN,in_use,,1.0,0.0,300.0,5800.0,4321.0,61.0,71.0,0.0,0.0,0.0,0.0,36.900000000000006,1.0,0,0,1321.0,44.0,0,0.745,0,0
ASSET-10035,U6655,,,Asus,ZenBook 14,M2,16.0,1024.0,HDD,Windows 10,HN,in_use,,1.0,0.0,159.0,5000.0,3551.0,75.0,64.0,0.0,0.0,0.0,0.0,36.900000000000006,2.0,0,0,,,0,0.7102,0,0
ASSET-10036,U8033,2023-07-15,2026-06-29,MSI,Prestige 14,Ryzen 5 4500U,8.0,512.0,SSD,Ubuntu 22.04,HN,in_use,,0.0,0.0,195.0,5800.0,4536.0,77.0,70.0,0.0,0.0,0.0,0.0,34.5,2.0,0,0,760.0,25.3,1,0.7820689655172414,0,0
ASSET-10037,U2234,2020-12-26,2023-12-11,Dell,Latitude 7420,M2,32.0,1024.0,NVMe,macOS 13,DN,in_use,,1.0,0.0,286.5,5000.0,3654.0,80.0,94.61999999999989,0.0,0.0,0.0,0.0,62.4,1.0,0,0,1691.0,56.4,0,0.7308,1,1
ASSET-10038,U9214,2020-09-09,2021-09-04,HP,Envy 13,Ryzen 7 4800U,32.0,256.0,NVMe,Windows 11,HCM,in_use,,0.0,0.0,203.0,4500.0,2644.0,91.0,79.0,0.0,0.0,0.0,0.0,70.5,1.0,0,0,1799.0,60.0,0,0.5875555555555556,1,0
ASSET-10039,U3112,2019-12-14,2021-12-03,HP,Envy 13,Ryzen 7 4800U,8.0,512.0,NVMe,macOS 13,HCM,in_use,,0.0,0.0,5000.0,5000.0,4622.0,93.0,59.0,0.0,0.0,0.0,0.0,51.3,1.0,1,0,2069.0,69.0,0,0.9244,1,1
ASSET-10040,U7731,2023-02-01,2026-01-16,Apple,MacBook Pro 13,M2,32.0,512.0,NVMe,macOS 12,HN,in_use,,0.0,1.0,290.0,5800.0,4945.0,81.0,71.0,0.0,0.0,0.0,0.0,35.8,2.0,0,0,924.0,30.8,1,0.8525862068965517,1,1
ASSET-10041,U3626,2022-01-22,2024-01-12,HP,EliteBook 840,i7-8650U,16.0,512.0,HDD,Windows 10,Hue,retired,2024-02-08,1.0,0.0,331.0,4000.0,3167.0,77.0,67.0,0.0,0.0,0.0,0.0,33.9,2.0,0,1,1299.0,43.3,0,0.79175,0,0
ASSET-10042,U2821,,2023-03-21,Asus,VivoBook 15,i5-8250U,8.0,512.0,NVMe,macOS 13,Hue,in_use,,0.0,0.0,300.0,4000.0,2653.0,75.0,61.0,1.0,0.0,0.0,0.0,51.5,2.0,0,0,,,0,0.66325,1,1
ASSET-10043,U1266,2023-01-02,2023-12-28,HP,ZBook 15,i7-8650U,32.0,1024.0,HDD,Windows 11,HCM,in_use,,0.0,1.0,284.0,5000.0,3814.0,76.0,71.0,0.0,0.0,0.0,0.0,45.1,1.0,0,0,954.0,31.8,0,0.7628,0,0
ASSET-10044,U6438,2022-01-24,2023-01-19,MSI,Modern 14,M1,16.0,1024.0,HDD,macOS 12,DN,in_use,,0.0,0.0,430.0,5100.0,3154.0,76.0,68.0,0.0,0.0,0.0,0.0,40.4,2.0,0,0,1297.0,43.2,0,0.6184313725490196,0,1
ASSET-10045,U2229,2023-07-22,2025-07-11,MSI,Modern 14,i5-1135G7,16.0,512.0,NVMe,macOS 12,HCM,in_use,,0.0,1.0,551.0,4500.0,2376.0,76.0,70.0,0.0,0.0,0.0,0.0,38.7,2.0,1,0,753.0,25.1,0,0.528,1,1
ASSET-10046,U9047,2021-03-30,2022-03-25,Asus,VivoBook 15,i7-8650U,16.0,256.0,NVMe,macOS 12,HCM,in_use,,0.0,0.0,310.0,5000.0,3391.0,75.0,75.0,0.0,0.0,0.0,0.0,34.6,1.0,0,0,1597.0,53.2,0,0.6782,1,1
ASSET-10047,U8842,2024-11-23,2026-11-13,Acer,TravelMate P2,i7-8650U,8.0,512.0,NVMe,Windows 10,Hue,in_use,,0.0,0.0,153.0,5200.0,4578.0,79.0,75.0,0.0,0.0,0.0,1.0,37.45,1.5,0,0,263.0,8.8,1,0.8803846153846154,1,0
ASSET-10048,U3526,2020-12-02,2023-11-17,Lenovo,T14 Gen2,Ryzen 7 4800U,32.0,256.0,SSD,Windows 10,HCM,in_use,,0.0,0.0,269.0,5800.0,4390.0,92.0,77.0,2.0,0.0,0.0,0.0,13.2,4.0,0,0,1715.0,57.2,0,0.756896551724138,0,0
ASSET-10049,U7070,2024-10-10,2027-09-25,Apple,MacBook Pro 13,i7-1185G7,16.0,256.0,HDD,macOS 12,HN,in_use,,2.0,1.0,583.0,4500.0,4725.0,78.0,72.0,0.0,0.0,0.0,0.0,35.8,3.0,0,0,307.0,10.2,1,1.05,0,1
ASSET-10050,U8710,2022-03-16,2025-02-28,HP,Envy 13,i7-8650U,16.0,256.0,HDD,Ubuntu 22.04,Hue,in_use,,0.0,0.0,74.0,5000.0,3554.0,68.0,71.0,0.0,0.0,0.0,1.0,77.0,0.0,0,0,1246.0,41.5,0,0.7108,0,0
ASSET-10051,U8761,2024-10-28,2026-10-18,Dell,XPS 13,i5-1135G7,16.0,1024.0,HDD,Windows 11,Hue,in_use,,0.0,0.0,468.0,5000.0,3654.0,77.0,72.0,0.0,0.0,0.0,0.0,43.2,2.0,0,0,289.0,9.6,1,0.7308,0,0
ASSET-10052,U3421,2021-09-19,2022-09-14,Dell,Precision 3560,i7-8650U,16.0,512.0,HDD,Ubuntu 22.04,Hue,in_use,,0.0,0.0,193.0,4500.0,3446.0,75.0,85.0,0.0,0.0,0.0,0.0,33.1,3.0,0,0,1424.0,47.5,0,0.7657777777777778,0,0
ASSET-10053,U4684,2022-05-04,2024-04-23,HP,ZBook 15,M2,16.0,512.0,HDD,macOS 13,Tokyo,in_use,,0.0,0.0,244.0,5000.0,4451.0,88.0,78.0,0.0,0.0,0.0,0.0,17.4,2.0,0,0,1197.0,39.9,0,0.8902,0,1
ASSET-10054,U4814,2019-08-04,2020-07-29,Lenovo,T14 Gen2,M2,8.0,1024.0,SSD,Windows 10,Singapore,in_use,,0.0,0.0,335.0,4500.0,3710.0,91.0,62.0,0.0,0.0,0.0,0.0,6.6,2.0,0,0,2201.0,73.4,0,0.8244444444444444,0,0
ASSET-10055,U1151,2022-05-07,2025-04-21,HP,EliteBook 840,Ryzen 7 4800U,16.0,512.0,NVMe,macOS 13,Singapore,in_use,,0.0,0.0,564.0,5200.0,3612.5,66.0,83.0,0.0,0.0,0.0,0.0,1.619,1.0,0,0,1194.0,39.8,0,0.6947115384615384,1,1
ASSET-10056,U6301,2021-10-13,2022-10-08,Dell,Precision 3560,i7-1185G7,16.0,512.0,HDD,Ubuntu 22.04,Singapore,in_use,,0.0,1.0,245.0,5800.0,4300.0,77.0,75.0,0.0,0.0,0.0,0.0,39.400000000000006,2.0,0,0,1400.0,46.7,0,0.7413793103448276,0,0
ASSET-10057,U4578,2021-10-10,2024-09-24,MSI,GF65,i7-8650U,16.0,512.0,NVMe,Ubuntu 22.04,HCM,in_use,,0.0,1.0,352.0,5800.0,2932.0,82.0,90.0,1.0,0.0,0.0,0.0,54.4,5.0,1,0,1403.0,46.8,0,0.5055172413793103,1,0
ASSET-10058,U1742,2023-10-02,2025-09-21,Dell,Latitude 5420,i5-8250U,8.0,512.0,SSD,Ubuntu 22.04,Hue,in_use,,1.0,0.0,206.0,5000.0,3392.0,82.0,75.0,0.0,0.0,0.0,0.0,39.400000000000006,2.0,0,0,681.0,22.7,1,0.6784,0,0
ASSET-10059,U9715,2023-04-03,2024-03-28,Asus,VivoBook 15,Ryzen 7 4800U,8.0,512.0,SSD,Windows 10,HCM,in_use,,0.0,0.0,97.0,5200.0,3974.0,75.0,77.0,0.0,0.0,0.0,0.0,9.6,1.0,0,0,863.0,28.8,0,0.7642307692307693,0,0
