,0
retire_date,93.46
warranty_end,7.12
purchase_date,5.77
age_months,5.77
age_days,5.77
user_id,0.0
asset_id,0.0
ram_gb,0.0
storage_gb,0.0
model,0.0
vendor,0.0
os_version,0.0
location,0.0
status,0.0
ticket_count_last_6m,0.0
bsod_cnt_30d,0.0
battery_cycle,0.0
storage_type,0.0
cpu,0.0
battery_full_cap,0.0
battery_design_cap,0.0
cpu_temp_max,0.0
gpu_temp_max,0.0
smart_pending,0.0
disk_errors_30d,0.0
thermal_throttle_cnt,0.0
smart_realloc,0.0
patch_missing_cnt,0.0
uptime_hours_7d,0.0
label_retire_180d,0.0
label_failure_90d,0.0
in_warranty,0.0
battery_health,0.0
is_nvme,0.0
is_mac,0.0
